,uid,anime_uid,score
349,281659,31637,9
350,241856,31637,8
351,309675,31637,10
352,311074,31637,9
353,216742,31637,6
354,214166,31637,9
355,248688,31637,4
356,214104,31637,6
357,301322,5680,10
358,302679,5680,7
359,85431,5680,4
360,14554,5680,8
361,16033,5680,7
362,313001,5680,10
363,278183,5680,4
364,25339,5680,7
365,203682,5680,9
366,67337,5680,10
367,13811,5680,8
368,305324,5680,9
369,21164,5680,7
370,185416,5680,2
371,15664,5680,10
372,89991,5680,5
373,236829,5680,5
374,16183,5680,7
375,314370,5680,3
376,294868,36214,9
377,296329,36214,10
378,297255,36214,8
379,289056,36214,8
380,292286,36214,9
381,283829,36214,10
382,288987,36214,5
383,291967,36214,9
384,294901,36214,8
385,284471,36214,4
386,294752,36214,10
387,282758,36214,10
388,282903,36214,6
389,284389,36214,8
390,282122,36214,10
391,282656,36214,2
392,281762,36214,10
393,281596,36214,10
394,298613,34944,6
395,309276,34944,10
396,313435,34944,8
397,315592,34944,8
398,280380,34944,10
399,287955,34944,8
400,288432,34944,10
401,292338,34944,3
402,292843,34944,4
403,301340,34944,9
404,306157,34944,8
405,288044,34944,8
406,289802,34944,7
407,276134,34944,9
408,279924,34944,7
409,275844,34944,8
410,283852,34944,3
411,181645,1689,4
412,204255,1689,7
413,181985,1689,9
414,226878,1689,5
415,142627,1689,3
416,187298,1689,9
417,112659,1689,3
418,23726,1689,10
419,126253,1689,9
420,1663,1689,10
421,94971,1689,9
422,1052,1689,9
423,10322,1689,8
424,615,1689,8
425,41031,1689,6
426,7341,1689,4
427,29867,1689,7
428,3980,1689,6
429,152561,1689,7
430,7905,1689,10
431,138783,552,9
432,194053,552,4
433,176719,552,7
434,296125,552,9
435,169863,552,10
436,42505,552,9
437,4185,552,7
438,190469,552,10
439,41843,552,9
440,135901,552,7
441,53281,552,10
442,42479,552,9
443,138787,552,7
444,29372,552,10
445,314333,552,9
446,178085,552,8
447,97781,552,10
448,26861,552,8
449,14684,552,8
450,182070,552,9
451,308415,38145,7
452,313751,38145,8
453,301635,38145,9
454,303232,38145,8
455,304543,38145,9
456,310290,38145,10
457,304473,38145,9
458,300461,38145,9
459,304479,38145,8
460,304495,38145,10
461,304503,38145,8
462,303760,38145,3
463,300507,38145,8
464,300502,38145,8
465,304476,38145,8
466,304498,38145,8
467,300395,38145,9
468,304496,38145,10
469,300393,38145,8
470,304475,38145,10
471,214180,31637,6
472,223219,31637,8
473,219020,31637,4
474,302746,31637,8
475,220700,31637,9
476,320933,31637,10
477,216255,31637,8
478,215506,31637,4
479,217789,31637,4
480,214987,31637,8
481,303831,31637,9
482,215295,31637,10
483,216563,31637,4
484,214063,31637,7
485,218190,31637,3
486,220549,31637,2
487,214541,31637,8
488,216057,31637,8
489,214058,31637,8
490,214154,31637,2
491,316500,5680,9
492,55079,5680,8
493,14695,5680,10
494,194313,5680,2
495,16041,5680,9
496,181455,5680,7
497,299910,5680,9
498,15125,5680,9
499,48733,5680,7
500,20591,5680,6
501,31761,5680,5
502,33895,5680,4
503,15535,5680,9
504,186811,5680,3
505,13806,5680,9
506,178837,5680,6
507,16123,5680,7
508,15186,5680,10
509,69553,5680,5
510,21816,5680,6
511,322540,27633,9
512,236200,27633,7
513,313410,27633,8
514,222232,27633,8
515,192617,27633,7
516,180324,27633,10
517,320191,36369,5
518,320252,36369,8
519,284474,33280,8
520,216548,451,9
521,263116,33280,6
522,147171,451,8
523,319941,451,7
524,17703,451,9
525,21105,451,9
526,38576,451,10
527,191046,451,9
528,15450,451,9
529,54475,5680,8
530,14076,5680,7
531,90777,5680,9
532,64521,5680,1
533,18948,5680,6
534,136303,5680,10
535,17522,5680,1
536,180833,5680,6
537,14481,5680,2
538,46685,5680,2
539,39457,5680,3
540,14484,5680,9
541,27796,5680,9
542,16018,5680,9
543,31147,5680,5
544,15750,5680,8
545,16235,5680,8
546,22081,5680,2
547,15897,5680,6
548,110759,5680,9
549,305831,6862,7
550,178928,6862,9
551,24948,6862,8
552,88461,6862,7
553,259062,35363,8
554,259016,35363,2
555,258858,35363,8
556,258769,35363,9
557,311067,32863,7
558,144651,11001,10
559,205836,322,9
560,26401,322,7
561,28691,322,9
562,88927,322,8
563,114873,322,9
564,319236,38958,7
565,281581,4472,9
566,288797,7645,9
567,153281,7645,8
568,35221,97,6
569,200344,468,6
570,197177,468,7
571,265532,468,9
572,198609,468,7
573,316221,468,8
574,270334,468,6
575,246029,468,4
576,170309,468,9
577,211018,468,9
578,68473,468,10
579,54771,322,8
580,25842,322,9
581,58493,322,8
582,8333,322,10
583,79092,322,10
584,101515,322,9
585,26876,322,10
586,29768,322,10
587,52765,322,10
588,70995,322,7
589,73931,322,9
590,199124,322,7
591,110683,322,8
592,77463,322,10
593,73817,322,7
594,24718,322,9
595,13182,322,10
596,19147,322,8
597,249374,322,4
598,62313,322,6
599,112133,97,5
600,94151,97,10
601,207739,97,9
602,232724,97,9
603,27319,97,10
604,281676,97,8
605,32139,97,5
606,205040,97,8
607,217401,97,9
608,325395,97,6
609,180165,97,6
610,48039,97,8
611,6943,97,9
612,7621,97,10
613,37696,97,8
614,31557,97,4
615,198247,97,9
616,84635,97,8
617,299995,97,8
618,288297,7645,7
619,178409,7645,10
620,25977,7645,8
621,38433,7645,5
622,216126,468,4
623,296775,468,6
624,247611,468,6
625,20267,468,7
626,90585,468,8
627,60595,468,10
628,181832,468,9
629,42223,468,9
630,30047,468,10
631,23224,468,6
632,187804,468,9
633,132597,468,1
634,99335,468,8
635,287356,468,3
636,262205,468,6
637,100185,468,9
638,1750,468,9
639,152785,468,7
640,42755,468,3
641,8875,468,9
642,220061,322,9
643,230520,322,7
644,4375,322,7
645,66121,322,9
646,21907,322,10
647,21503,322,10
648,225978,322,7
649,287339,322,6
650,291401,322,8
651,255537,322,5
652,220588,322,6
653,211069,322,10
654,237063,322,8
655,240445,322,6
656,268764,322,9
657,235045,322,5
658,191255,322,7
659,324964,39940,9
660,325098,39940,3
661,325320,39940,6
662,324369,39940,9
663,24216,97,10
664,284711,97,6
665,247092,97,10
666,11343,97,9
667,286916,97,5
668,71977,322,8
669,135069,322,6
670,23300,322,10
671,18172,97,6
672,88657,97,6
673,78623,97,10
674,23511,97,9
675,30952,97,10
676,34740,97,5
677,123585,97,9
678,1441,97,8
679,5148,97,7
680,42289,97,7
681,46505,97,7
682,219322,97,9
683,207,97,7
684,29554,97,8
685,81820,4472,4
686,1997,97,8
687,14026,4472,8
688,317510,4472,10
689,31995,4472,7
690,317546,4472,9
691,169341,4472,4
692,14754,4472,9
693,58481,4472,10
694,8428,4472,6
695,8476,4472,8
696,31539,4472,6
697,11455,4472,9
698,8199,4472,9
699,298417,38958,10
700,297796,38958,10
701,297917,38958,9
702,297870,38958,10
703,297731,38958,10
704,228986,322,7
705,190332,322,10
706,55177,322,7
707,9762,322,10
708,161131,322,8
709,9712,322,6
710,206423,322,7
711,128467,322,8
712,34895,322,7
713,17621,322,9
714,593,322,8
715,920,322,7
716,130073,322,10
717,613,322,8
718,5874,322,9
719,322099,39940,3
720,322869,39940,8
721,323928,39940,4
722,325406,39940,5
723,324326,39940,9
724,325386,39940,5
725,321852,39940,8
726,322288,39940,5
727,324966,39940,5
728,324678,39940,6
729,322269,39940,10
730,322301,39940,9
731,324942,39940,8
732,324956,39940,9
733,324957,39940,5
734,321142,39940,6
735,324952,39940,5
736,321455,39940,3
737,321163,39940,5
738,87129,11001,10
739,87209,11001,8
740,321214,39940,9
741,80304,4181,10
742,146039,4181,9
743,26459,4181,8
744,26452,4181,8
745,59177,4181,10
746,217685,19319,9
747,290807,19319,7
748,138971,19319,8
749,56255,1571,9
750,322302,38770,8
751,320921,38770,6
752,309363,38770,10
753,150083,5005,8
754,205329,18397,6
755,155371,1571,8
756,8682,1571,9
757,38470,1571,9
758,10814,269,9
759,22179,269,7
760,303893,269,5
761,34714,269,4
762,290867,202,10
763,240636,1571,9
764,263230,1571,9
765,264045,1571,9
766,166021,269,7
767,185164,269,5
768,230900,202,6
769,2018,202,10
770,221453,1571,10
771,80000,1571,9
772,20555,269,3
773,62447,269,7
774,24458,269,5
775,314305,269,5
776,57035,202,10
777,33413,202,9
778,79760,1571,8
779,101677,1571,10
780,321757,1571,4
781,86505,1571,9
782,45285,1571,8
783,22736,1571,9
784,81396,1571,10
785,192763,1571,6
786,103173,1571,9
787,34046,1571,10
788,260401,1571,9
789,20015,1571,9
790,40131,1571,8
791,33336,1571,8
792,27302,1571,10
793,207634,1571,6
794,34343,1571,8
795,31377,1571,10
796,217468,1571,6
797,108331,1571,8
798,91517,202,10
799,2532,202,10
800,4926,202,10
801,2716,202,10
802,249510,202,7
803,262216,202,9
804,252892,202,10
805,209184,202,9
806,126489,202,9
807,69877,202,9
808,213015,202,7
809,60353,202,9
810,51533,202,6
811,100865,202,10
812,28457,202,10
813,218535,202,8
814,219331,202,8
815,16829,202,9
816,322042,269,3
817,139689,269,8
818,7855,269,10
819,6054,269,9
820,179671,269,3
821,194908,269,10
822,9897,269,9
823,12351,269,10
824,194043,269,5
825,18382,269,6
826,10253,269,9
827,52595,269,7
828,186988,269,1
829,124005,269,3
830,8837,269,9
831,181641,269,6
832,140515,1571,9
833,246163,1571,8
834,251350,1571,10
835,254233,1571,8
836,86659,1571,9
837,71463,1571,6
838,146905,1571,10
839,183840,1571,10
840,55923,1571,9
841,59149,1571,8
842,50497,1571,10
843,198005,1571,7
844,20524,1571,9
845,214620,1571,9
846,35296,1571,8
847,217503,1571,8
848,22606,1571,8
849,195975,1571,10
850,126877,202,10
851,221311,202,4
852,318284,202,9
853,324889,202,8
854,241289,202,7
855,103783,202,8
856,206909,202,8
857,187605,202,7
858,229576,202,7
859,98419,202,9
860,96243,202,8
861,112685,202,10
862,42535,202,8
863,18350,202,8
864,32742,202,10
865,32758,202,10
866,17172,202,10
867,76505,202,9
868,147451,269,6
869,9734,269,9
870,290043,269,3
871,194048,269,3
872,76707,269,8
873,1155,269,7
874,104759,269,5
875,59407,269,1
876,2756,269,9
877,6132,269,9
878,1922,269,10
879,188860,269,3
880,132141,269,3
881,8040,269,9
882,313858,269,10
883,30719,269,3
884,2052,269,9
885,19734,269,5
886,243083,1571,9
887,271499,1571,9
888,272592,1571,7
889,106553,1571,8
890,222182,1571,9
891,205611,1571,9
892,205661,1571,7
893,219582,1571,8
894,221331,1571,7
895,81090,1571,9
896,15731,1571,8
897,17105,1571,10
898,9909,1571,10
899,29713,1571,10
900,61935,1571,10
901,79182,1571,4
902,17880,1571,9
903,261563,202,9
904,23433,202,10
905,189623,202,8
906,311142,202,7
907,13339,202,10
908,197629,202,10
909,10676,202,10
910,32331,202,9
911,321734,202,10
912,285621,202,10
913,5283,202,9
914,176071,202,10
915,29686,202,9
916,292021,202,1
917,1049,202,10
918,2672,202,8
919,8723,202,10
920,193767,202,7
921,211568,202,1
922,30597,269,5
923,4008,269,10
924,2581,269,6
925,2231,269,10
926,1565,269,7
927,28816,269,3
928,3910,269,8
929,750,269,10
930,6935,269,6
931,6511,269,10
932,9562,269,5
933,19948,269,6
934,44433,269,3
935,4377,269,9
936,34866,269,5
937,440,269,8
938,78535,1571,10
939,214336,1571,5
940,85183,1571,9
941,304345,1571,8
942,56875,1571,10
943,18371,1571,8
944,5527,1571,5
945,194092,1571,7
946,322957,1571,9
947,164633,1571,10
948,188584,1571,9
949,164079,1571,8
950,298277,1571,6
951,71011,1571,8
952,58905,1571,9
953,26025,1571,10
954,16610,1571,10
955,253557,18397,9
956,159733,18397,7
957,140779,18397,4
958,123363,18397,5
959,131041,18397,8
960,186795,18397,4
961,156263,18397,7
962,123509,18397,7
963,123389,18397,10
964,130109,18397,10
965,131033,18397,10
966,123469,18397,8
967,98325,5005,9
968,268798,5005,7
969,147215,5005,8
970,19674,5005,7
971,19647,5005,9
972,38676,5005,9
973,228726,202,4
974,169765,202,9
975,38591,202,9
976,79384,202,10
977,27411,202,6
978,190900,202,10
979,261174,202,3
980,180811,202,6
981,94275,202,9
982,28896,202,7
983,122439,202,10
984,25902,202,9
985,1212,202,10
986,30041,202,2
987,1377,202,8
988,117155,202,6
989,15743,202,8
990,114203,202,4
991,6137,202,9
992,16094,202,10
993,239065,32998,7
994,316388,32998,3
995,230880,32998,8
996,233091,32998,8
997,230785,32998,8
998,230743,32998,9
999,230816,32998,7
1000,230807,32998,8
1001,230730,32998,8
1002,230758,32998,9
1003,230797,32998,8
1004,230655,32998,8
1005,245165,32998,7
1006,230657,32998,7
1007,231258,32998,5
1008,313577,32998,8
1009,230653,32998,9
1010,230775,32998,7
1011,230650,32998,8
1012,230686,32998,7
1013,19850,269,4
1014,184387,269,5
1015,6621,269,7
1016,231670,269,5
1017,1708,269,8
1018,3324,269,3
1019,36102,269,6
1020,509,269,9
1021,964,269,6
1022,26106,269,5
1023,1485,269,5
1024,13651,269,3
1025,181806,269,4
1026,34861,269,5
1027,5916,269,1
1028,269557,269,10
1029,186712,269,6
1030,968,269,8
1031,17312,269,6
1032,4719,269,8
1033,260843,30123,5
1034,199148,30123,8
1035,207809,30123,7
1036,204546,30123,10
1037,212051,30123,7
1038,312763,30123,4
1039,324413,30123,4
1040,199166,30123,6
1041,200885,30123,10
1042,287192,30123,4
1043,254156,30123,8
1044,200354,30123,5
1045,200295,30123,9
1046,262801,30123,9
1047,199222,30123,10
1048,210972,30123,10
1049,213625,30123,10
1050,202622,30123,8
1051,296127,30123,10
1052,314684,30123,7
1053,320014,30123,10
1054,323575,30123,9
1055,262752,30123,8
1056,247765,30123,9
1057,248599,30123,10
1058,235363,30123,8
1059,199629,30123,9
1060,222913,30123,8
1061,245818,30123,9
1062,247243,30123,3
1063,249647,30123,1
1064,308398,30123,5
1065,253137,30123,9
1066,253433,30123,8
1067,259243,30123,9
1068,264371,30123,6
1069,218758,30123,6
1070,205786,30123,5
1071,231525,30123,9
1072,233582,30123,9
1073,218143,30123,10
1074,230070,30123,4
1075,211569,30123,8
1076,208797,30123,8
1077,245126,30123,9
1078,283102,30123,8
1079,237462,30123,9
1080,242057,30123,10
1081,247321,30123,6
1082,251408,30123,7
1083,256196,30123,6
1084,236115,30123,6
1085,222869,30123,8
1086,211050,30123,10
1087,224551,30123,7
1088,201643,30123,10
1089,201311,30123,10
1090,237380,30123,7
1091,239325,30123,9
1092,239610,30123,8
1093,291589,30123,3
1094,217648,30123,8
1095,221286,30123,5
1096,218249,30123,8
1097,217159,30123,9
1098,225527,30123,10
1099,212017,30123,7
1100,201041,30123,8
1101,206733,30123,9
1102,199655,30123,9
1103,200096,30123,8
1104,210217,30123,9
1105,199220,30123,6
1106,199153,30123,8
1107,199168,30123,8
1108,212816,30123,8
1109,215629,30123,6
1110,226565,30123,10
1111,218202,30123,7
1112,216887,30123,7
1113,214062,30123,5
1114,219123,30123,6
1115,238098,30123,6
1116,282911,30123,8
1117,293653,30123,8
1118,261731,30123,2
1119,298178,30123,9
1120,298343,30123,8
1121,306163,30123,10
1122,276548,30123,8
1123,211392,30123,9
1124,203712,30123,10
1125,207001,30123,9
1126,216657,30123,9
1127,230410,30123,8
1128,279548,30123,9
1129,280160,30123,6
1130,246211,30123,5
1131,318748,30123,10
1132,321044,30123,7
1133,199374,30123,6
1134,203627,30123,4
1135,235090,30123,4
1136,199176,30123,8
1137,199104,30123,8
1138,199141,30123,8
1139,205096,30123,6
1140,15745,1571,9
1141,30423,1571,9
1142,14412,1571,9
1143,19619,1571,9
1144,76255,1571,8
1145,2132,1571,10
1146,2071,1571,10
1147,105775,1571,7
1148,335,1571,10
1149,5100,1571,6
1150,100321,1571,10
1151,2393,1571,10
1152,26931,1571,7
1153,161183,1571,6
1154,242464,1571,4
1155,19052,1571,8
1156,165481,1571,3
1157,3242,1571,10
1158,163,1571,10
1159,275482,19319,9
1160,283632,19319,8
1161,185852,19319,6
1162,138391,19319,9
1163,138481,19319,10
1164,189506,19319,9
1165,255802,19319,7
1166,300411,19319,9
1167,138623,19319,10
1168,240239,19319,6
1169,138057,19319,8
1170,166927,19319,9
1171,132817,19319,8
1172,153553,4181,10
1173,207922,4181,10
1174,235445,4181,3
1175,131949,4181,10
1176,82352,4181,10
1177,133549,4181,10
1178,280781,4181,10
1179,204202,4181,9
1180,190940,4181,10
1181,190137,4181,7
1182,186741,4181,8
1183,70511,4181,10
1184,204085,4181,10
1185,53971,4181,10
1186,215126,30276,10
1187,232418,30276,9
1188,206481,30276,9
1189,216705,30276,8
1190,206159,30276,9
1191,221373,30276,7
1192,223815,30276,7
1193,223116,30276,8
1194,206151,30276,8
1195,224491,30276,10
1196,221282,30276,8
1197,219969,30276,8
1198,228549,30276,9
1199,206187,30276,9
1200,219272,30276,8
1201,219404,30276,6
1202,227773,30276,10
1203,146477,3750,8
1204,297996,33263,8
1205,232265,32380,7
1206,325359,38084,9
1207,236298,388,8
1208,37791,9724,8
1209,312855,37985,9
1210,313083,37985,10
1211,159209,1172,7
1212,36562,397,10
1213,320,397,7
1214,3348,397,9
1215,200504,28999,3
1216,40991,3092,10
1217,170927,20057,10
1218,283187,28999,6
1219,283475,35860,9
1220,282654,35860,9
1221,283922,35860,8
1222,300015,28999,7
1223,300698,28999,10
1224,259344,28999,6
1225,301381,28999,10
1226,276508,35860,7
1227,274292,35860,10
1228,275214,35860,8
1229,206503,20057,10
1230,240022,28999,10
1231,287535,28999,7
1232,265012,28999,8
1233,282075,28999,8
1234,201452,28999,9
1235,201756,28999,8
1236,222244,28999,8
1237,201563,28999,7
1238,201472,28999,7
1239,213588,28999,6
1240,213406,28999,8
1241,252865,28999,7
1242,253512,28999,4
1243,273789,28999,8
1244,311041,28999,8
1245,206758,28999,5
1246,199733,28999,8
1247,205755,28999,8
1248,199742,28999,5
1249,199748,28999,8
1250,203629,28999,7
1251,216362,28999,4
1252,199939,28999,6
1253,221153,28999,5
1254,200482,28999,10
1255,200078,28999,10
1256,204729,28999,10
1257,199687,28999,6
1258,199710,28999,8
1259,199684,28999,8
1260,199790,28999,9
1261,199834,28999,9
1262,211271,28999,9
1263,216134,28999,9
1264,210822,28999,10
1265,209446,28999,10
1266,222884,28999,5
1267,267379,28999,7
1268,268762,28999,7
1269,245152,28999,7
1270,246922,28999,2
1271,272358,28999,10
1272,274755,28999,10
1273,236475,28999,8
1274,235923,28999,10
1275,199701,28999,8
1276,234743,28999,9
1277,199818,28999,7
1278,201100,28999,6
1279,222253,28999,7
1280,208634,28999,8
1281,219737,28999,8
1282,201685,28999,6
1283,295572,28999,7
1284,247680,28999,9
1285,301276,28999,8
1286,302920,28999,6
1287,303112,28999,8
1288,200738,28999,5
1289,232794,28999,9
1290,225996,28999,8
1291,225586,28999,10
1292,206242,28999,10
1293,211619,28999,7
1294,200039,28999,7
1295,237549,28999,6
1296,242033,28999,9
1297,243892,28999,5
1298,245673,28999,10
1299,245695,28999,9
1300,243635,28999,6
1301,243756,28999,10
1302,282490,28999,7
1303,205794,28999,6
1304,199997,28999,6
1305,227878,28999,6
1306,211470,28999,6
1307,247246,28999,8
1308,247477,28999,10
1309,258567,28999,8
1310,258854,28999,10
1311,263779,28999,8
1312,264739,28999,8
1313,266944,28999,10
1314,272058,28999,6
1315,276819,28999,10
1316,199908,28999,5
1317,199876,28999,6
1318,199746,28999,9
1319,233622,28999,9
1320,208220,28999,5
1321,199706,28999,6
1322,234107,28999,9
1323,200014,28999,6
1324,199739,28999,7
1325,200200,28999,7
1326,278515,28999,8
1327,283202,28999,9
1328,283610,28999,8
1329,242734,28999,10
1330,242996,28999,4
1331,243707,28999,1
1332,244358,28999,7
1333,292667,28999,5
1334,293420,28999,8
1335,307205,28999,2
1336,252657,28999,9
1337,307986,28999,10
1338,309361,28999,8
1339,310528,28999,1
1340,310789,28999,8
1341,311473,28999,4
1342,255560,28999,8
1343,313099,28999,6
1344,313429,28999,6
1345,313621,28999,4
1346,199698,28999,6
1347,224101,28999,8
1348,223655,28999,10
1349,200938,28999,9
1350,214278,28999,10
1351,210991,28999,8
1352,212583,28999,9
1353,221301,28999,9
1354,203735,28999,7
1355,231906,28999,8
1356,206025,28999,7
1357,206508,28999,6
1358,207778,28999,7
1359,208099,28999,6
1360,221621,28999,8
1361,227440,28999,8
1362,199999,28999,9
1363,232441,28999,10
1364,236407,28999,8
1365,199777,28999,8
1366,256766,28999,6
1367,316826,28999,7
1368,257613,28999,7
1369,239265,28999,8
1370,320107,28999,6
1371,321312,28999,7
1372,322311,28999,4
1373,240206,28999,6
1374,240260,28999,5
1375,324355,28999,8
1376,325416,28999,5
1377,265576,28999,9
1378,266412,28999,10
1379,266752,28999,10
1380,207738,28999,4
1381,207766,28999,10
1382,207071,28999,8
1383,226810,28999,9
1384,226930,28999,8
1385,226469,28999,9
1386,230454,28999,10
1387,227914,28999,8
1388,206097,28999,8
1389,233658,28999,8
1390,226231,28999,9
1391,212805,28999,8
1392,218904,28999,7
1393,217061,28999,8
1394,205310,28999,6
